PosNum,LCMSplantingID,Accession,Planting,Ozark_Chinquapin,ID,Date.1,sEmerge.1,lEmerge.1,Surv.1,basDia.1,stNum.1,stLeng.1,leafL.1,leafW.1,leafN.1,L.stg.1.1,L.stg.2.1,L.stg.3.1,L.stg.4.1,Notes.1,Date.2,sEmerge.2,lEmerge.2,Surv.2,stNum.2,stLeng.2,basDia.2,leafN.2,leafL.2,leafW.2,Notes.2,Date.3,sEmerge.3,lEmerge.3,sEmergeDate,lEmergeDate,Surv.3,stNum.3,stLeng.3,basDia.3,leafN.3,leafL.3,leafW.3,Notes.3,Date.4,Surv.4,stNum.4,stLeng.4,basDia.4,leafN.4,leafL.4,leafW.4,Notes.4,Date.5,Surv.5,stNum.5,stLeng.5,basDia.5,leafN.5,leafL.5,leafW.5,Notes.5
1,2024-0273-3,2024-0273,3,T,97 - 3,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
2,2024-0274-13,2024-0274,13,T,103 - 13,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
3,2024-0270-1,2024-0270,1,T,94 - 1,5/3/24,Y,N,Y,NA,1,0.5,NA,NA,0,Y,N,N,N,Too small to measure basal diameter.,6/13/24,Y,N,N ,NA,NA,NA,NA,NA,NA,,7/12/24,Y,N,2/13/24,,N ,NA,NA,NA,NA,NA,NA,,8/15/24,N ,NA,NA,NA,NA,NA,NA,,9/17/24,N ,NA,NA,NA,NA,NA,NA,
4,2024-0245-6,2024-0245,6,T,25 - 6,5/3/24,N,Y,Y,1.69,1,5.8,5.9,3.2,5,N,Y,Y,Y,,6/13/24,N,Y,Y,1,7.4,2.42,9,6.3,2.5,,7/12/24,N,Y,-,4/1/24,Y,1,7.5,1.2,10,6,3,,8/15/24,Y,2,7.6,2.13,10,6.2,3.1,,9/17/24,Y,1,7.8,3.38,12,6.2,2.8,
5,2024-0276-7,2024-0276,7,T,107 - 7,5/3/24,Y,Y,Y,1.76,1,11,DNR,DNR,7,N,Y,N,Y,,6/13/24,Y,Y,Y,1,12.4,2.49,7,9.5,3.8,,7/12/24,Y,Y,4/1/24,4/8/24,Y,1,13.2,1.71,7,9.5,4,,8/15/24,Y,1,12.8,3.27,7,9.5,4.3,,9/17/24,Y,2,18.4,3.42,18,9.7,4.2,
6,2024-0273-2,2024-0273,2,T,97 - 2,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
7,2024-0266-8,2024-0266,8,T,76 - 8,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,N ,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
8,2024-0255-1,2024-0255,1,F,39 - 1,5/3/24,N,N,Y,1.28,2,1.2,NA,NA,0,Y,N,N,N,,6/13/24,N,N,Y,3,1.1,DNR,0,NA,NA,,7/12/24,N,N,-,,N ,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
9,2024-0237-12,2024-0237,12,T,13 - 12,5/3/24,Y,N,Y,1.86,1,2.9,NA,NA,0,Y,Y,N,N,,6/13/24,Y,N,Y,1,2.9,DNR,0,NA,NA,,7/12/24,Y,N,3/18/24,,N,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
10,2024-0249-15,2024-0249,15,T,30 - 15,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
11,2024-0262-4,2024-0262,4,T,50 - 4,5/3/24,Y,Y,Y,2.6,1,12.1,10.8,5.1,8,Y,N,Y,N,,6/13/24,Y,Y,Y,1,12.2,3.44,9,11.4,5,,7/12/24,Y,Y,3/18/24,4/1/24,Y,1,13.5,1.83,9,10.5,5,,8/15/24,Y,1,13.4,3.73,9,10.9,5.2,,9/17/24,Y,3,12.3,4.86,11,10.8,5.1,"2nd and 3rd stems are new growth, no leaves yet. "
12,2024-0253-9,2024-0253,9,T,36 - 9,5/3/24,Y,Y,Y,1.64,1,6.9,6.7,3.3,6,Y,N,N,N,,6/13/24,Y,Y,Y,1,6.7,2.06,6,7.4,3.1,,7/12/24,Y,Y,3/11/24,4/15/24,Y,1,6.5,1.49,5,6.5,3,,8/15/24,Y,2,7.7,2.55,12,6.9,3.3,Second stem very new,9/17/24,Y,3,9.3,3.52,23,10.7,4.6,"2nd and 3rd stems are new growth, no leaves yet. "
13,2024-0226-1,2024-0226,1,T,2 - 1,5/3/24,N,Y,Y,0.87,1,7.3,5.5,2.8,6,Y,Y,N,Y,,6/13/24,N,Y,Y,1,9.2,2.03,9,6.7,3,,7/12/24,N,Y,-,4/1/24,Y,1,9.5,1.23,8,7,2.5,,8/15/24,Y,1,12,2.57,13,7.1,2.8,,9/17/24,Y,1,17.8,3.68,17,12.6,4.9,
14,2024-0265-9,2024-0265,9,T,66 - 9,5/3/24,Y,N,Y,0.79,3,1.3,NA,NA,0,Y,N,N,N,Very bad looking,6/13/24,Y,N,Y,3,1.4,DNR,0,NA,NA,,7/12/24,Y,N,2/28/24,,N,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
15,2024-0246-18,2024-0246,18,T,27 - 18,5/3/24,Y,N,Y,2.07,1,1.1,NA,NA,0,Y,Y,N,N,,6/13/24,Y,N,N,NA,NA,NA,NA,NA,NA,,7/12/24,Y,N,3/18/24,,N,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
16,2024-0257-9,2024-0257,9,T,42 - 9,5/3/24,Y,N,Y,2.42,1,1.2,NA,NA,0,Y,Y,N,N,,6/13/24,Y,N,Y,1,1.4,DNR,0,NA,NA,,7/12/24,Y,N,3/18/24,,N,NA,NA,NA,NA,NA,NA,,8/15/24,N,NA,NA,NA,NA,NA,NA,,9/17/24,N,NA,NA,NA,NA,NA,NA,
17,2024-0259-11,2024-0259,11,F,45 - 11,5/3/24,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/24,N,N,NA,NA,NA,NA,NA,NA,NA,,7/12/24,N,N,,,NA,NA,NA,NA,NA,NA,NA,,8/15/24,NA,NA,NA,NA,NA,NA,NA,,9/17/24,NA,NA,NA,NA,NA,NA,NA,
18,2024-0246-12,2024-0246,12,T,27 - 12,5/3/24,Y,Y,Y,2.44,1,15,11.4,6.2,7,Y,Y,Y,Y,,6/13/24,Y,Y,Y,1,15.7,3.21,9,12.1,5.9,,7/12/24,Y,Y,3/18/24,4/1/24,Y,1,16,2.41,9,11.5,5,,8/15/24,Y,1,16.2,4.05,9,11.5,6.1,,9/17/24,Y,1,15.4,4.8,22,16,6.9,
