Id,Accession,Planting,Taxon,Area,Bed,Position/Spot,Inventory Date,Status,Plant Count,Planting Material Type,Source,Provenance,Property,Ipen,Restriction,Date received,Quantity received,Country,State,County,Google_Latitude,Google_Longitude,Collector,Collection Num,Collection Date,Sampling method,EO ID,EO number,Property ownership,Notes on Habitat and soil,Mother Plant/Maternal Pop,Family,Seed/Lot #,Index Seminum Year,Mapped,Label Graphic
1112130,1992-0179,1,Castanea ozarkensis ,Maintenance Area,P01,LATH,2001-04-02T00:00:00,Dead,1,Plant,Arkansas Tech. University,Wild,Mobot,,,1992-03-17T00:00:00,1,United States,Arkansas,Newton,35.94196722,-93.21854189,Johnson,s.n.,,,,,,,,Fagaceae,,,FALSE,
1112131,1992-0180,1,Castanea ozarkensis ,Greenhouse A2,P01,,1993-04-01T00:00:00,Dead,1,Plant,Arkansas Tech. University,Wild,Mobot,,,1992-03-17T00:00:00,1,United States,Arkansas,Newton,35.94196722,-93.21854189,Johnson,s.n.,,,,,,,,Fagaceae,,,FALSE,
1112132,1992-0181,1,Castanea ozarkensis ,Maintenance Area,P01,LATH,2001-04-02T00:00:00,Dead,1,Plant,Arkansas Tech. University,Wild,Mobot,,,1992-03-17T00:00:00,1,United States,Arkansas,Newton,35.94196722,-93.21854189,Johnson,s.n.,,,,,,,,Fagaceae,,,FALSE,
1112133,1992-0182,1,Castanea ozarkensis ,Greenhouse A2,P01,,1992-07-01T00:00:00,Dead,1,Plant,Arkansas Tech. University,Wild,Mobot,,,1992-03-17T00:00:00,1,United States,Arkansas,Newton,35.94196722,-93.21854189,Johnson,s.n.,,,,,,,,Fagaceae,,,FALSE,
1112134,1992-0183,1,Castanea ozarkensis ,Greenhouse A2,P01,,1992-01-01T00:00:00,Dead,1,Plant,Arkansas Tech. University,Wild,Mobot,,,1992-03-17T00:00:00,1,United States,Arkansas,Newton,35.94196722,-93.21854189,Johnson,s.n.,,,,,,,,Fagaceae,,,FALSE,
1112135,1992-0184,1,Castanea ozarkensis ,Maintenance Area,P01,LATH,2001-04-02T00:00:00,Dead,1,Plant,Arkansas Tech. University,Wild,Mobot,,,1992-03-17T00:00:00,1,United States,Arkansas,Newton,35.94196722,-93.21854189,Johnson,s.n.,,,,,,,,Fagaceae,,,FALSE,
1112136,1992-0185,1,Castanea ozarkensis ,Emerson Electric Conservation Building Landscape,01,,1999-04-01T00:00:00,Dead,1,Plant,Arkansas Tech. University,Wild,Mobot,,,1992-03-17T00:00:00,1,United States,Arkansas,Newton,35.94196722,-93.21854189,Johnson,s.n.,,,,,,,,Fagaceae,,,FALSE,
1112137,1992-0186,1,Castanea ozarkensis ,Maintenance Area,P01,LATH,2001-04-02T00:00:00,Dead,1,Plant,Arkansas Tech. University,Wild,Mobot,,,1992-03-17T00:00:00,1,United States,Arkansas,Newton,35.94196722,-93.21854189,Johnson,s.n.,,,,,,,,Fagaceae,,,FALSE,
1112138,1992-0187,1,Castanea ozarkensis ,Greenhouse A2,P01,,1992-07-01T00:00:00,Dead,1,Plant,Arkansas Tech. University,Wild,Mobot,,,1992-03-17T00:00:00,1,United States,Arkansas,Newton,35.94196722,-93.21854189,Johnson,s.n.,,,,,,,,Fagaceae,,,FALSE,
1112139,1992-0188,1,Castanea ozarkensis ,Whitmire Wildflower Garden,WFG9,WFG9,2013-10-09T00:00:00,Dead,1,Plant,Arkansas Tech. University,Wild,Shaw Nature Reserve,,,1992-03-17T00:00:00,1,United States,Arkansas,Newton,35.94196722,-93.21854189,Johnson,s.n.,,,,,,,,Fagaceae,,,FALSE,
