Accession,Planting,Country,State,County,Google_Latitude,Google_Longitude,PosNum,LCMSplantingID,Ozark_Chinquapin,ID,sEmerge_19846,lEmerge_19846,Surv_19846,basDia_19846,stNum_19846,stLeng_19846,leafL_19846,leafW_19846,leafN_19846,Notes_19846,sEmerge_19887,lEmerge_19887,Surv_19887,stNum_19887,stLeng_19887,basDia_19887,leafN_19887,leafL_19887,leafW_19887,Notes_19887,sEmerge_19916,lEmerge_19916,sEmergeDate_NA,lEmergeDate_NA,Surv_19916,stNum_19916,stLeng_19916,basDia_19916,leafN_19916,leafL_19916,leafW_19916,Notes_19916,Surv_19950,stNum_19950,stLeng_19950,basDia_19950,leafN_19950,leafL_19950,leafW_19950,Notes_19950,Surv_19983,stNum_19983,stLeng_19983,basDia_19983,leafN_19983,leafL_19983,leafW_19983,Notes_19983,Id,Taxon,Area,Bed,Position/Spot,Inventory Date,Status,Plant Count,Planting Material Type,Source,Provenance,Property,Ipen,Restriction,Date received,Quantity received,Collector,Collection Num,Collection Date,Sampling method,EO ID,EO number,Property ownership,Notes on Habitat and soil,Mother Plant/Maternal Pop,Family,Seed/Lot #,Index Seminum Year,Mapped,Label Graphic
2024-0225,4,United States,Arkansas,Searcy,35.24302748,-91.73355094,429,2024-0225-4,TRUE,1 - 4,Y,Y,Y,2.2,1,7.5,5.1,2,6,Curled leaf measured,Y,Y,Y,1,11.3,2.89,7,10.8,5.3,NA,Y,Y,3/18/24,4/15/24,Y,1,10.7,3.69,6,11.1,5.5,NA,Y,1,11,4.06,6,10.7,5.3,NA,Y,1,10.8,4.35,6,12.2,5.4,NA,1298730,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Dormant,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0225,NA,NA,23,Chris Wyatt,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0225,5,United States,Arkansas,Searcy,35.24302748,-91.73355094,475,2024-0225-5,TRUE,1 - 5,Y,Y,Y,2,1,9.9,6.5,4,6,Curled leaf measured,Y,Y,Y,1,10,2.8,8,6.5,3.5,NA,Y,Y,3/25/24,4/15/24,Y,1,8.9,2.97,4,7.8,3.9,NA,Y,1,9.7,3.44,8,8,3.6,NA,Y,1,10.2,3.82,15,6.9,3.2,NA,1298731,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Dormant,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0225,NA,NA,23,Chris Wyatt,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0225,6,United States,Arkansas,Searcy,35.24302748,-91.73355094,504,2024-0225-6,TRUE,1 - 6,Y,N,Y,1.52,1,2.8,NA,NA,0,"Dead stem, resprouting.",Y,N,Y,1,6.5,1.69,3,2.5,1,NA,Y,Y,4/1/24,4/29/24,Y,1,8.1,1.66,8,3.6,1.8,NA,Y,1,8.4,2.3,8,12.1,5,NA,Y,1,8.2,3.2,8,12.2,4.9,NA,1298732,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Dormant,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0225,NA,NA,23,Chris Wyatt,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0225,8,United States,Arkansas,Searcy,35.24302748,-91.73355094,545,2024-0225-8,TRUE,1 - 8,Y,Y,Y,2.05,1,11.8,3.3,2.4,6,Curled leaf measured,Y,Y,Y,1,16.2,2.74,12,11.2,4.8,NA,Y,Y,4/1/24,4/22/24,Y,1,16,3.13,12,10.8,4.5,NA,Y,1,17.5,4.1,12,10.1,4.7,NA,Y,1,16.8,3.78,12,10.3,4.8,NA,1298734,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Dormant,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0225,NA,NA,23,Chris Wyatt,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0225,11,United States,Arkansas,Searcy,35.24302748,-91.73355094,486,2024-0225-11,TRUE,1 - 11,Y,Y,Y,2.79,1,16,5.7,2.5,6,"Dead stem, resprouting.",Y,Y,Y,1,24,3.7,9,9,4.5,NA,Y,Y,3/25/24,4/22/24,Y,1,24.1,4.02,9,11.3,4.8,NA,Y,1,24.5,4.63,9,10.1,4.9,NA,Y,1,24.2,5.09,16,10.6,5.1,NA,1298737,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Dormant,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0225,NA,NA,23,Chris Wyatt,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0225,12,United States,Arkansas,Searcy,35.24302748,-91.73355094,70,2024-0225-12,TRUE,1 - 12,Y,Y,Y,2.34,1,11.8,6.2,4.5,7,NA,Y,Y,Y,1,13.5,3.24,12,11.5,5.5,NA,Y,Y,4/8/24,4/15/24,Y,1,13.5,2.43,12,11,5.5,NA,Y,1,13.7,3.84,12,11.2,5.6,NA,Y,1,13.3,4.93,13,11.1,5.8,NA,1298738,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Dormant,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0225,NA,NA,23,Chris Wyatt,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0225,13,United States,Arkansas,Searcy,35.24302748,-91.73355094,267,2024-0225-13,TRUE,1 - 13,Y,Y,Y,1.74,1,12.7,5,2.8,8,NA,Y,Y,Y,1,15.1,2.67,9,14.1,6.6,NA,Y,Y,4/8/24,4/15/24,Y,1,15.1,3.97,9,14.4,6.1,NA,Y,1,16,5.85,9,14.5,6.6,NA,Y,1,15.5,3.89,15,14.2,6.5,NA,1298739,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Dormant,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0225,NA,NA,23,Chris Wyatt,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0225,14,United States,Arkansas,Searcy,35.24302748,-91.73355094,576,2024-0225-14,TRUE,1 - 14,Y,Y,Y,1.52,1,11.3,3.4,2.2,4,NA,Y,Y,Y,1,13.8,2.23,7,9.6,4.9,NA,Y,Y,4/8/24,4/22/24,Y,1,13.6,2.78,8,9.7,4.3,NA,Y,1,14.8,3.53,11,9.6,4.4,NA,Y,1,16.1,3.68,14,11.6,5.7,NA,1298740,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Dormant,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0225,NA,NA,23,Chris Wyatt,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0225,17,United States,Arkansas,Searcy,35.24302748,-91.73355094,252,2024-0225-17,TRUE,1 - 17,Y,Y,Y,3.01,1,17,6.3,3.5,6,NA,Y,Y,Y,1,20.7,3.99,11,11.6,4.7,NA,Y,Y,3/25/24,4/15/24,Y,1,19.2,3.95,11,12.2,4.8,NA,Y,1,21.7,5.5,11,12.3,4.9,NA,Y,1,20.6,4.52,19,11.9,4.3,NA,1298743,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Dormant,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0225,NA,NA,23,Chris Wyatt,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0225,18,United States,Arkansas,Searcy,35.24302748,-91.73355094,69,2024-0225-18,TRUE,1 - 18,Y,N,Y,2.63,1,4.8,1.8,0.9,2,NA,Y,N,Y,1,9.5,2.79,8,3,1.5,NA,Y,Y,3/25/24,4/29/24,Y,1,9.5,3.19,12,6,2.5,NA,Y,2,9.4,2.94,14,5.5,2.7,NA,Y,2,11.8,4.2,22,7.6,4,NA,1298744,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Dormant,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0225,NA,NA,23,Chris Wyatt,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
