Accession,Planting,Country,State,County,Google_Latitude,Google_Longitude,PosNum,LCMSplantingID,Ozark_Chinquapin,ID,num_traits,Date,num_values,Surv,Notes,sEmergeDate,lEmergeDate
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,basDia,2024-05-03,1.69,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,basDia,2024-06-13,2.42,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,basDia,2024-07-12,1.2,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,basDia,2024-08-15,2.13,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,basDia,2024-09-17,3.38,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,leafL,2024-05-03,5.9,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,leafL,2024-06-13,6.3,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,leafL,2024-07-12,6,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,leafL,2024-08-15,6.2,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,leafL,2024-09-17,6.2,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,leafN,2024-05-03,5,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,leafN,2024-06-13,9,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,leafN,2024-07-12,10,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,leafN,2024-08-15,10,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,leafN,2024-09-17,12,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,leafW,2024-05-03,3.2,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,leafW,2024-06-13,2.5,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,leafW,2024-07-12,3,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,leafW,2024-08-15,3.1,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,leafW,2024-09-17,2.8,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,stLeng,2024-05-03,5.8,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,stLeng,2024-06-13,7.4,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,stLeng,2024-07-12,7.5,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,stLeng,2024-08-15,7.6,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,stLeng,2024-09-17,7.8,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,stNum,2024-05-03,1,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,stNum,2024-06-13,1,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,stNum,2024-07-12,1,Y,NA,NA,2024-04-01
2024-0245,6,United States,Louisiana,Webster,32.72856663,-93.33404912,4,2024-0245-6,TRUE,25 - 6,stNum,2024-08-15,2,Y,NA,NA,2024-04-01
