SAMPLE	MISSING_RATE	AVG_DP	AVG_GQ
Castanea_004	0.0552	11.67	36.65
Castanea_005	0.0560	11.11	34.89
Castanea_011	0.0555	10.34	32.66
Castanea_013	0.0631	10.95	34.57
Castanea_018	0.0426	13.01	40.26
Castanea_019	0.0673	10.07	32.20
Castanea_021	0.0578	10.66	33.91
Castanea_023	0.0730	9.92	31.68
Castanea_027	0.0626	12.82	39.37
Castanea_029	0.2106	72.01	98.83
Castanea_030	0.0408	10.82	34.33
Castanea_031	0.0626	10.83	34.23
Castanea_032	0.0446	12.61	38.46
Castanea_035	0.0450	12.46	38.43
Castanea_036	0.0803	11.46	36.03
Castanea_037	0.0480	11.40	36.01
Castanea_039	0.0462	12.31	38.41
Castanea_053	0.0483	10.97	35.12
Castanea_054	0.0445	11.47	36.00
Castanea_060	0.0437	11.53	36.48
Castanea_066	0.0386	12.03	37.42
Castanea_067	0.0434	12.41	38.33
Castanea_069	0.0633	10.96	34.41
Castanea_070	0.0449	11.89	36.91
Castanea_074	0.0421	11.23	34.82
Castanea_076	0.0691	10.54	33.67
Castanea_078	0.0538	11.03	34.83
Castanea_081	0.0566	10.46	33.68
Castanea_082	0.0673	10.09	32.88
Castanea_084	0.0440	11.02	34.75
Castanea_086	0.0641	11.59	35.00
Castanea_088	0.0489	10.71	34.23
Castanea_090	0.0360	11.94	37.53
Castanea_091	0.0418	11.34	35.57
Castanea_094	0.0533	11.31	35.72
Castanea_095	0.0475	11.80	36.69
Castanea_096	0.0516	11.21	35.66
Castanea_097	0.0536	11.37	35.66
Castanea_098	0.0436	12.77	39.15
Castanea_100	0.0438	11.77	36.58
Castanea_103	0.0592	11.02	34.36
Castanea_106	0.0668	10.29	32.66
Castanea_109	0.0648	10.45	33.30
Castanea_115	0.0494	11.47	35.60
Castanea_118	0.2297	10.31	34.66
Castanea_119	0.0397	12.21	37.88
Castanea_120	0.0604	9.88	31.78
Castanea_121	0.0456	10.86	34.28
Castanea_124	0.0702	10.22	31.99
Castanea_125	0.0443	10.85	34.16
Castanea_127	0.0645	10.61	33.57
Castanea_131	0.0614	11.79	36.39
Castanea_134	0.0666	9.78	31.62
Castanea_142	0.0318	12.91	39.99
Castanea_143	0.0809	9.23	29.84
Castanea_145	0.0668	9.95	31.89
Castanea_146	0.0497	10.76	34.37
Castanea_148	0.0536	12.77	39.51
Castanea_149	0.0487	11.55	36.11
Castanea_155	0.0633	10.61	33.95
Castanea_156	0.0468	12.31	38.51
Castanea_157	0.0446	12.07	37.67
Castanea_158	0.0356	13.84	42.43
Castanea_159	0.0558	11.73	36.79
Castanea_164	0.0876	9.36	30.17
Castanea_165	0.0418	13.57	41.73
Castanea_167	0.0491	12.11	37.45
Castanea_169	0.0627	10.99	34.49
Castanea_170	0.0502	12.42	38.64
Castanea_176	0.0405	11.69	36.45
Castanea_178	0.0741	11.59	36.18
Castanea_179	0.0603	11.50	36.13
Castanea_180	0.0560	11.55	35.94
Castanea_182	0.0423	12.02	37.66
Castanea_184	0.0476	12.07	37.32
Castanea_186	0.0354	12.30	38.03
Castanea_188	0.1006	11.41	40.60
Castanea_190	0.0542	12.09	37.69
Castanea_192	0.0467	11.57	36.22
Castanea_195	0.0803	10.11	32.38
Castanea_202	0.0473	11.27	35.47
Castanea_203	0.0516	11.85	37.24
Castanea_205	0.0490	11.29	35.85
Castanea_206	0.0549	11.80	37.24
Castanea_207	0.0609	10.37	33.04
Castanea_209	0.0929	9.48	31.31
Castanea_210	0.0553	11.51	34.99
Castanea_212	0.0645	10.64	32.76
Castanea_213	0.0443	11.51	36.11
Castanea_214	0.0707	10.84	34.44
Castanea_215	0.0469	11.69	36.54
Castanea_220	0.0649	11.16	35.27
Castanea_222	0.0534	12.87	38.34
Castanea_224	0.0572	10.62	33.85
Castanea_226	0.0518	10.80	34.46
Castanea_228	0.0703	10.45	33.50
Castanea_235	0.0532	10.90	34.51
Castanea_236	0.0525	12.24	35.12
Castanea_237	0.0466	11.44	35.73
Castanea_245	0.0478	11.04	35.13
Castanea_246	0.0546	11.33	35.70
Castanea_250	0.0666	10.96	34.73
Castanea_253	0.0371	12.10	37.89
Castanea_258	0.0468	11.00	35.04
Castanea_260	0.0385	12.61	38.99
Castanea_263	0.0327	12.37	38.03
Castanea_265	0.0327	12.46	38.38
Castanea_267	0.0429	12.15	38.30
Castanea_272	0.0478	11.94	37.10
Castanea_274	0.0326	12.87	39.67
Castanea_280	0.0355	11.65	36.81
Castanea_285	0.0338	11.93	37.39
Castanea_294	0.0359	11.64	36.71
Castanea_296	0.0658	10.45	33.02
